Partie d'AI 40% contre l'AI 50%,Victoires,Défaites,,,,,,,,,,,,,,
Partie d'AI 71% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(71),603,397,P2(50),,,,,,,,,,,,,
Partie d'AI 71% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(71),638,362,P2(65),,,,,,,,,,,,,
Partie d'AI 71% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(71),888,112,P2(80),,,,,,,,,,,,,
Partie d'AI 72% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(72),604,396,P2(50),,,,,,,,,,,,,
Partie d'AI 72% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(72),633,367,P2(65),,,,,,,,,,,,,
Partie d'AI 72% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(72),868,132,P2(80),,,,,,,,,,,,,
Partie d'AI 73% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(73),584,416,P2(50),,,,,,,,,,,,,
Partie d'AI 73% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(73),629,371,P2(65),,,,,,,,,,,,,
Partie d'AI 73% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(73),883,117,P2(80),,,,,,,,,,,,,
Partie d'AI 74% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(74),598,402,P2(50),,,,,,,,,,,,,
Partie d'AI 74% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(74),646,354,P2(65),,,,,,,,,,,,,
Partie d'AI 74% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(74),852,148,P2(80),,,,,,,,,,,,,
Partie d'AI 75% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(75),561,439,P2(50),,,,,,,,,,,,,
Partie d'AI 75% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(75),582,418,P2(65),,,,,,,,,,,,,
Partie d'AI 75% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(75),804,196,P2(80),,,,,,,,,,,,,
Partie d'AI 76% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(76),383,617,P2(50),,,,,,,,,,,,,
Partie d'AI 76% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(76),326,674,P2(65),,,,,,,,,,,,,
Partie d'AI 76% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(76),544,456,P2(80),,,,,,,,,,,,,
Partie d'AI 77% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(77),147,853,P2(50),,,,,,,,,,,,,
Partie d'AI 77% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(77),28,972,P2(65),,,,,,,,,,,,,
